categoryName,city,reviewsCount,stars,state,text,title,url
Engineering consultant,Burgos,0,,Burgos,,Leonardo Brown Suárez,https://www.google.com/maps/search/?api=1&query=Leonardo%20Brown%20Su%C3%A1rez&query_place_id=ChIJWzrLvpP8RQ0RYNZrqvWlCUM
Bar,Gayangos,50,4.0,Burgos,,Bar Hermanos Pando,https://www.google.com/maps/search/?api=1&query=Bar%20Hermanos%20Pando&query_place_id=ChIJq0FU82AkTw0RfQ1-VULC4cg
Hamburger restaurant,Medinilla de la Dehesa,0,,Burgos,,Bolo Burgers,https://www.google.com/maps/search/?api=1&query=Bolo%20Burgers&query_place_id=ChIJiec9bAAPRg0R4-PsZ9SLtKg
Construction company,Burgos,73,5.0,Burgos,"Muy buenos profesionales, siempre atentos y con conocimiento",Restauración Garsan. Construcciones Garcia Arnaiz.,https://www.google.com/maps/search/?api=1&query=Restauraci%C3%B3n%20Garsan.%20Construcciones%20Garcia%20Arnaiz.&query_place_id=ChIJq6G1kMv8RQ0Rm7emiIiRiNQ
Hair salon,Burgos,111,5.0,Burgos,"Davinia y sus compañeras, muy buenas profesionales y de trato excelente.",Peluquería Davinia,https://www.google.com/maps/search/?api=1&query=Peluquer%C3%ADa%20Davinia&query_place_id=ChIJ8dUSfNX8RQ0RpFbujSxh68E
Bar,Gayangos,0,,Burgos,,BAR VIMADI,https://www.google.com/maps/search/?api=1&query=BAR%20VIMADI&query_place_id=ChIJ5y9dhWAkTw0RJy0dY01pUrc
Nursing agency,Burgos,0,,Burgos,,Qualis Vita et Tempus,https://www.google.com/maps/search/?api=1&query=Qualis%20Vita%20et%20Tempus&query_place_id=ChIJgxfBWyn9RQ0Rib8lwNl_jFY
Park,Medinilla de la Dehesa,2,5.0,Burgos,Lugar perfecto para perderte en un viaje de ensueño.,Pobellez,https://www.google.com/maps/search/?api=1&query=Pobellez&query_place_id=ChIJ9X0IbAAPRg0RmMlbWM-KwNw
Car repair and maintenance service,Ibeas de Juarros,1,5.0,Burgos,EXCELLENT!!! SUPER PROFESSIONAL!!!,Taller J.A. Pérez Regleei,https://www.google.com/maps/search/?api=1&query=Taller%20J.A.%20P%C3%A9rez%20Regleei&query_place_id=ChIJybOjWgDvRQ0RXx02_9alCQA
Government office,Barcenillas del Ribero,0,,Burgos,,Ayuntamiento de Merindad de Montija,https://www.google.com/maps/search/?api=1&query=Ayuntamiento%20de%20Merindad%20de%20Montija&query_place_id=ChIJq6qqqpohTw0R_2rofRJSc8Q
Parking lot for bicycles,Burgos,0,,Burgos,,Aparcabicis,https://www.google.com/maps/search/?api=1&query=Aparcabicis&query_place_id=ChIJ5wrf5aX9RQ0R-XYdlo_3XCk
Internet service provider,Burgos,0,,Burgos,,Cylcom S.L.,https://www.google.com/maps/search/?api=1&query=Cylcom%20S.L.&query_place_id=ChIJmwJbvJP8RQ0RPEflfevb0Q0
Video production service,Burgos,4,5.0,Burgos,"Excelentes profesionales, muy buen servicio de asesoramiento en materia de videos. Cámara, micrófono, fotografía son los mejores en la ciudad te dan el presupuesto solicitado inmediatamente. Espero os guste el servicio tanto como a mi","Audiovisuales Santi 3 Vídeo. Vídeo, fotografía y operadores de drones.",https://www.google.com/maps/search/?api=1&query=Audiovisuales%20Santi%203%20V%C3%ADdeo.%20V%C3%ADdeo%2C%20fotograf%C3%ADa%20y%20operadores%20de%20drones.&query_place_id=ChIJcWzMvpP8RQ0R-7YDZZgPkh8
Physical therapist,Burgos,6,5.0,Burgos,Muy profesional!!!,Fisioterapia González Vega,https://www.google.com/maps/search/?api=1&query=Fisioterapia%20Gonz%C3%A1lez%20Vega&query_place_id=ChIJn5Yx8uH9RQ0R_6weXJ4ib8o
College,Burgos,4,4.0,Burgos,Estructura muy bonita,Facultad de Teología del Norte de España (sede de Burgos),https://www.google.com/maps/search/?api=1&query=Facultad%20de%20Teolog%C3%ADa%20del%20Norte%20de%20Espa%C3%B1a%20(sede%20de%20Burgos)&query_place_id=ChIJxeORvif9RQ0R5_C-P0beFak
Bar,Gayangos,58,4.0,Burgos,,Taberna Los Lagos,https://www.google.com/maps/search/?api=1&query=Taberna%20Los%20Lagos&query_place_id=ChIJdfzihWAkTw0Rhkj4xCdoaKo
Hairdresser,Burgos,45,5.0,Burgos,Doy 5 estrellas porque no hay valoración de 10 .Ayer día 30 de diciembre fui a pedir cita para cambio de look pensando que con las fechas q son sería imposible .Mi suerte fue que hoy la Rosa y su equipo  me cambiaron no solo el color de pelo …es que me cambiaron la vida .El resusltado fue muchísimo mejor de lo q esperaba y en menos de lo que pensaba con todo el trabajo que mi pelo requería yo estaba fuera de la peluquería y más contenta que ni se .Claro que repetiré porque mi pelo no lucia así de bonito desde hace muuuuchisimo .Volvere y recomendaré 100%.Muchas gracias por el trato y el cambio .Feliz año,Rosa Gutiérrez - Beauty Studio,https://www.google.com/maps/search/?api=1&query=Rosa%20Guti%C3%A9rrez%20-%20Beauty%20Studio&query_place_id=ChIJ27OJT6L9RQ0Rgy-PjI5oqEk
Foundation,Burgos,0,,Burgos,,Fundación Ars Burgensis,https://www.google.com/maps/search/?api=1&query=Fundaci%C3%B3n%20Ars%20Burgensis&query_place_id=ChIJBxbYRgD9RQ0RP5FnO5OMNHA
Lodging,,70,5.0,Burgos,,El Molino de Vilviestre de Muñó,https://www.google.com/maps/search/?api=1&query=El%20Molino%20de%20Vilviestre%20de%20Mu%C3%B1%C3%B3&query_place_id=ChIJaWcM0IIRRg0RgNmoQRMiJrc
Catholic church,Barcenillas del Ribero,1,5.0,Burgos,,Iglesia de Nuestra Señora de la Natividad,https://www.google.com/maps/search/?api=1&query=Iglesia%20de%20Nuestra%20Se%C3%B1ora%20de%20la%20Natividad&query_place_id=ChIJW5gkZekjTw0RtoBPe3BOsc0
