categoryName,city,reviewsCount,stars,state,text,title,url
Organización sin ánimo de lucro,Burgos,37,5.0,Burgos,,Fundación Oxígeno,https://www.google.com/maps/search/?api=1&query=Fundaci%C3%B3n%20Ox%C3%ADgeno&query_place_id=ChIJzzuTb1_9RQ0RZfrH5c9-_wU
Espacio de coworking,Burgos,2,4.0,Burgos,,El Hueco Verde,https://www.google.com/maps/search/?api=1&query=El%20Hueco%20Verde&query_place_id=ChIJxYNaY_QHRg0Rjy_nTiVoqA8
Asociación u organización,Burgos,3,5.0,Burgos,,Centro Inserción Social de Burgos,https://www.google.com/maps/search/?api=1&query=Centro%20Inserci%C3%B3n%20Social%20de%20Burgos&query_place_id=ChIJZ6lBoqsHRg0RLNb8ziAB03M
Bus stop,Burgos,0,,Burgos,,Albacastro Penal,https://www.google.com/maps/search/?api=1&query=Albacastro%20Penal&query_place_id=ChIJG4zNqPUHRg0RtPO9qPIyUCE
Bus stop,Burgos,0,,Burgos,,Ricardo Pérez - Penal,https://www.google.com/maps/search/?api=1&query=Ricardo%20P%C3%A9rez%20-%20Penal&query_place_id=ChIJ670KLfQHRg0Rat7eCbxmuu8
Centro de formación,Burgos,0,,Burgos,,"FORMACIÓN Y OCIO BURGOS, SL",https://www.google.com/maps/search/?api=1&query=FORMACI%C3%93N%20Y%20OCIO%20BURGOS%2C%20SL&query_place_id=ChIJM8zmRewHRg0Re1ciwrqyTbI
Urbanización,Burgos,1,1.0,Burgos,,Francisco Mariscal,https://www.google.com/maps/search/?api=1&query=Francisco%20Mariscal&query_place_id=ChIJUZw6Q1kHRg0RrHN1aIYXrfU
Bus stop,,0,,Burgos,,Albacastro,https://www.google.com/maps/search/?api=1&query=Albacastro&query_place_id=ChIJv-3mOPUHRg0Rk6PTbaprmMQ
Fotógrafo,burgos,0,,Burgos,,misangeles666,https://www.google.com/maps/search/?api=1&query=misangeles666&query_place_id=ChIJmbsGV54nRA0Rk_A7DP5giKw
Parque,Burgos,2,3.0,Burgos,"Una rotonda normal, pero tiene una señal torcida",Glorieta Miguel Ángel Blanco,https://www.google.com/maps/search/?api=1&query=Glorieta%20Miguel%20%C3%81ngel%20Blanco&query_place_id=ChIJy-ZpACz9RQ0RIV4Si6dgYwI
Parque deportivo,Aranda de Duero,0,,Burgos,,Parque Biosaludable,https://www.google.com/maps/search/?api=1&query=Parque%20Biosaludable&query_place_id=ChIJMcKVfAAnRA0Rq5zZRilxCWo
Parque infantil,Burgos,428,5.0,Burgos,Perfecto para cumpleaños y pasar tardes de celebracion en grupo muy recomendable en Burgos,Saltimban-Kid - Parque infantil de ocio en la Castellana,https://www.google.com/maps/search/?api=1&query=Saltimban-Kid%20-%20Parque%20infantil%20de%20ocio%20en%20la%20Castellana&query_place_id=ChIJIzC6bzH9RQ0R1pr71MliYdI
Arquitecto,Burgos,24,5.0,Burgos,Mi pareja y yo tuvimos una muy buena experiencia con META2020 - un estudio muy recomendable!,META2020 arquitectos,https://www.google.com/maps/search/?api=1&query=META2020%20arquitectos&query_place_id=ChIJl4Q769v8RQ0RNwWYFasPwlM
Parque,Burgos,0,,Burgos,,Puerta Noreste de El Parral,https://www.google.com/maps/search/?api=1&query=Puerta%20Noreste%20de%20El%20Parral&query_place_id=ChIJRciyLwD9RQ0RQqk04B2hu4c
Castillo,Burgos,1,5.0,Burgos,"Existen escritos que mencionan un castillo en la población de Santibañez de Zarzaguda. Si bien no queda claro su ubicación.
De haber estado situado en este monte, es claro que hubiera sido un castillo muy apretado.",Castillo Prieto,https://www.google.com/maps/search/?api=1&query=Castillo%20Prieto&query_place_id=ChIJy1IODxkBRg0Rpl_PGhBWhlE
