Place ID,Latitude,Longitude
ChIJu1Zcdi7uRQ0REwtPYpIG_NU,42.3313108,-3.5355914
ChIJ5wrf5aX9RQ0R-XYdlo_3XCk,42.3352995,-3.7120029
ChIJX6pnJZn9RQ0RIngMOUwRtfQ,42.3357089,-3.7017197
ChIJY6KJM7klTw0Ri1vtJLFs5yM,43.0229503,-3.507536
ChIJX6pnJZn9RQ0RIngMOUwRtfQ,42.3361538,-3.7018726
ChIJE5cbBDPvRQ0R7u1QpNwiaM4,42.3313108,-3.5355914
ChIJ4-DwISAQRg0RvR_LObg4QeI,42.3074811,-3.9076491
ChIJn5Yx8uH9RQ0R_6weXJ4ib8o,42.3352995,-3.7120029
ChIJE5cbBDPvRQ0R7u1QpNwiaM4,42.3313165,-3.5356289
ChIJiewYxpP8RQ0RTs-yJkn_WIA,42.3612135,-3.678673
ChIJCWB2aNX8RQ0RCL0vBYbm4I4,42.3357089,-3.7017197
ChIJX3qQKHMkTw0R_yWGqhYErpw,43.0229503,-3.507536
ChIJry2bdi7uRQ0R9eLQTEV2JnU,42.3313165,-3.5356289
ChIJQxGg_br9RQ0RxVbTjl1T2XA,42.3361538,-3.7018726
ChIJK6TwxZP8RQ0Rl26nDZvsBuo,42.3612135,-3.678673
ChIJ27OJT6L9RQ0Rgy-PjI5oqEk,42.3352995,-3.7120029
ChIJoZkHkB8QRg0RixRQG3r7C0I,42.3074811,-3.9076491
ChIJry2bdi7uRQ0R9eLQTEV2JnU,42.3313108,-3.5355914
ChIJD1nTTgD9RQ0RfEBVl3zuhhw,42.3397331,-3.7063929
ChIJn5Yx8uH9RQ0R_6weXJ4ib8o,42.3352992,-3.712078
ChIJew9htS_9RQ0RVnNgoKGt5mc,42.3357089,-3.7017197
ChIJz5bFa2MlTw0Rdi7x-gXaA60,43.0229503,-3.507536
ChIJNWj8DQD9RQ0RN_nh6eXzWnk,42.3361538,-3.7018726
ChIJFzUX0C3uRQ0RCmUuw33VwCw,42.3313165,-3.5356289
ChIJx1m-Ri39RQ0RD5hh11zIW50,42.3352995,-3.7120029
ChIJl7Z0QB0PRg0RdLakM-qKWMk,42.3074811,-3.9076491
ChIJJQZUkCn9RQ0RlmMTcG9Mobk,42.3397331,-3.7063929
ChIJO6SQXwn9RQ0RhHPHBQP3JPc,42.3352992,-3.712078
ChIJPzfyuZP8RQ0RzeQn7LPdc2U,42.3612135,-3.678673
ChIJUasVe9X8RQ0R9Yw6-ekXKqs,42.3357089,-3.7017197
ChIJFzUX0C3uRQ0RCmUuw33VwCw,42.3313108,-3.5355914
ChIJ_3kQ-3IkTw0REU1xQ7DTRBQ,43.0229503,-3.507536
ChIJkSavI5D9RQ0Rh0zZNfKI0fw,42.3361538,-3.7018726
ChIJv1wAcC7uRQ0RnLr1aP-AWMY,42.3313165,-3.5356289
ChIJP2CnBaIPRg0RrOtr9b0gWd0,42.3074811,-3.9076491
ChIJdaabQS39RQ0RxpGQvBdCB2w,42.3352995,-3.7120029
ChIJAQBQbin9RQ0R28k6rSPvUUQ,42.3397331,-3.7063929
ChIJdaabQS39RQ0RxpGQvBdCB2w,42.3352992,-3.712078
ChIJr-FoHf39RQ0R4qvA84h2u7M,42.3612135,-3.678673
ChIJkSavI5D9RQ0Rh0zZNfKI0fw,42.3357089,-3.7017197
ChIJv1wAcC7uRQ0RnLr1aP-AWMY,42.3313108,-3.5355914
ChIJ9UaGy3IkTw0RSSUWjLUfPYg,43.0229503,-3.507536
ChIJi0t8DQD9RQ0RzZ_mKdayOy0,42.3361538,-3.7018726
ChIJYy55ey7uRQ0Rf8Y2c3MZrt0,42.3313165,-3.5356289
ChIJH8uKFQ8QRg0RwJVxg8N8Qkw,42.3074811,-3.9076491
